№,Name,Description,Price,Image Url
33,Сотовый телефон Xiaomi Redmi Note 11S 8/128GB серый,"

Сотовый телефон Xiaomi Redmi Note 11S 8/128GB серый

        6.4"" OLED 2400x1080 ~90Гц; процессор Helio G96; память 8/128 GB; основная камера 108+8+2+2 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 33 Вт; Android 11; GSM 4G            ",16660 сом,/images/product/103730/1647067810_26792000.jpg
34,Сотовый телефон Samsung Galaxy A54 5G 8/128GB зеленый,"

Сотовый телефон Samsung Galaxy A54 5G 8/128GB зеленый

        6.4"" AMOLED 2340х1080~120Гц; Samsung Exynos 1380; память 8/128GB; основная камера 50+12+5 mpx (OIS); фронтальная 32 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 13; GSM 5G            ",30270 сом,/images/product/119602/1680521204_49362900.jpg
35,Сотовый телефон Xiaomi Redmi Note 12 Pro 4G 6/128GB черный,"

Сотовый телефон Xiaomi Redmi Note 12 Pro 4G 6/128GB черный

        6.67"" AMOLED 2400х1080~120Гц; Qualcomm Snapdragon 732G; память 6/128GB; основная камера 108+8+2+2 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 67 Вт; Android 13; GSM 4G            ",21770 сом,/images/product/119858/1680860144_91495100.jpg
36,Сотовый телефон Xiaomi Redmi Note 11S 8/128GB белый,"

Сотовый телефон Xiaomi Redmi Note 11S 8/128GB белый

        6.4"" OLED 2400x1080 ~90Гц; процессор Helio G96; память 8/128 GB; основная камера 108+8+2+2 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 33 Вт; Android 11; GSM 4G            ",16660 сом,/images/product/103731/1645887958_79387100.jpg
37,Сотовый телефон Samsung Galaxy A54 5G 8/128GB черный,"

Сотовый телефон Samsung Galaxy A54 5G 8/128GB черный

        6.4"" AMOLED 2340х1080~120Гц; Samsung Exynos 1380; память 8/128GB; основная камера 50+12+5 mpx (OIS); фронтальная 32 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 13; GSM 5G            ",30270 сом,/images/product/119603/1680521211_54618700.jpg
38,Сотовый телефон Xiaomi Redmi Note 12 Pro 4G 6/128GB голубой,"

Сотовый телефон Xiaomi Redmi Note 12 Pro 4G 6/128GB голубой

        6.67"" AMOLED 2400х1080~120Гц; Qualcomm Snapdragon 732G; память 6/128GB; основная камера 108+8+2+2 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 67 Вт; Android 13; GSM 4G            ",21770 сом,/images/product/119859/1680860227_35710700.jpg
39,Сотовый телефон Xiaomi Redmi Note 11S 8/128GB синий,"

Сотовый телефон Xiaomi Redmi Note 11S 8/128GB синий

        6.4"" OLED 2400x1080 ~90Гц; процессор Helio G96; память 8/128 GB; основная камера 108+8+2+2 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 33 Вт; Android 11; GSM 4G            ",16660 сом,/images/product/103732/1647067786_23073500.jpg
40,Сотовый телефон Samsung Galaxy A54 5G 8/128GB фиолетовый,"

Сотовый телефон Samsung Galaxy A54 5G 8/128GB фиолетовый

        6.4"" AMOLED 2340х1080~120Гц; Samsung Exynos 1380; память 8/128GB; основная камера 50+12+5 mpx (OIS); фронтальная 32 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 13; GSM 5G            ",30270 сом,/images/product/119604/1680521219_09877000.jpg
41,Сотовый телефон Xiaomi Redmi Note 12 Pro 4G 6/128GB белый,"

Сотовый телефон Xiaomi Redmi Note 12 Pro 4G 6/128GB белый

        6.67"" AMOLED 2400х1080~120Гц; Qualcomm Snapdragon 732G; память 6/128GB; основная камера 108+8+2+2 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 67 Вт; Android 13; GSM 4G            ",21770 сом,/images/product/119860/1680860317_21407900.jpg
42,Сотовый телефон Samsung Galaxy A54 5G 8/128GB белый,"

Сотовый телефон Samsung Galaxy A54 5G 8/128GB белый

        6.4"" AMOLED 2340х1080~120Гц; Samsung Exynos 1380; память 8/128GB; основная камера 50+12+5 mpx (OIS); фронтальная 32 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 13; GSM 5G            ",30270 сом,/images/product/119605/1680521226_02019200.jpg
